geoplugin_request,geoplugin_status,geoplugin_delay,geoplugin_credit,geoplugin_city,geoplugin_region,geoplugin_regionCode,geoplugin_regionName,geoplugin_areaCode,geoplugin_dmaCode,geoplugin_countryCode,geoplugin_countryName,geoplugin_inEU,geoplugin_euVATrate,geoplugin_continentCode,geoplugin_continentName,geoplugin_latitude,geoplugin_longitude,geoplugin_locationAccuracyRadius,geoplugin_timezone,geoplugin_currencyCode,geoplugin_currencySymbol,geoplugin_currencySymbol_UTF8,geoplugin_currencyConverter
104.237.80.105,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.106,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.107,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.108,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.109,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.11,206,0ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.111,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.114,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.117,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.119,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.12,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.120,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.135,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.136,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.140,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.141,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.144,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.147,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
